gpt-3.5-turbo,gpt-4,llama-2-7b-chat.Q4_K_M.gguf,llama-2-13b-chat.Q4_K_M.gguf
semi-annual,semi-annual,  Semi-annual,  Semi-annual
semi-annual,semi-annual,  Semi-annual,  Semi-annual
semi-annual,semi-annual,  Semi-annual,  Semi-annual
semi-annual,semi-annual,  Semi-annual,  Semi-annual
semi-annual,semi-annual,  Semi-annual,  Semi-annual
semi-annual,semi-annual,  Semi-annual,  Semi-annual
semi-annual,semi-annual,  Semi-annual,  Semi-annual
semi-annual,semi-annual,  Semi-annual,  Semi-annual
semi-annual,semi-annual,  Semi-annual,  Semi-annual
semi-annual,semi-annual,  Semi-annual,  Semi-annual
semi-annual,semi-annual,  Semi-annual,  Semi-annual
semi-annual,semi-annual,  Semi-annual,  Semi-annual
semi-annual,semi-annual,  Semi-annual,  Semi-annual
semi-annual,semi-annual,  Semi-annual,  Semi-annual
semi-annual,semi-annual,  Semi-annual,  Semi-annual
semi-annual,semi-annual,  Semi-annual,  Semi-annual
semi-annual,semi-annual,  Semi-annual,  Semi-annual
semi-annual,semi-annual,  Semi-annual,  Semi-annual
semi-annual,semi-annual,  Semi-annual,  Semi-annual
semi-annual,semi-annual,  Semi-annual,  Semi-annual
semi-annual,semi-annual,  Semi-annual,  Semi-annual
semi-annual,semi-annual,  Semi-annual,  Semi-annual
semi-annual,semi-annual,  Semi-annual,  Semi-annual
semi-annual,semi-annual,  Semi-annual,  Semi-annual
semi-annual,semi-annual,  Semi-annual,  Semi-annual
